name,phone,address,category,city,country,reason,date_found
Tia Maria Bar & Kitchen,+44 20 7622 3602,"126 South Lambeth Road, London, SW8 1RB",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Chatora City,+44 20 459 78339,"4 Great St. Thomas Apostle, London, EC4V 2BH",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Ristorante LA COLLINA,+44 20 8423 2598,London,restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
The Diner,+44 20 7226 3272,"21 Essex Road, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Donna Sofia,+44 20 7354 9309,"36 Highbury Park, London, N5 2AA",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Café Gallipoli Again,+44 20 7359 1578,"120 Upper Street, London, N1 1QP",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Noodles City,+44 20 7272 3302,"147 Stroud Green Road, London, N4 3PZ",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Aqua Bar & Grill,+44 20 8460 2346,"4-6 East Street, Bromley, BR1 1QN",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
La Masseria,+44 20 7535 8575,"69 Upper Berkeley Street, London, W1H 7QZ",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Red Sun,+44 20 7723 5350,"2a New Quebec Street, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
New Dewaniam,+44 20 7703 1941,"225a Camberwell New Road, London, SE5 0TH",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Villa Toscana,+44 20 8991 9900,"5 Boileau Parade, London, W5 3AQ",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Freej Swaileh,+44 20 7724 0220,"190 Edgware Road, London, W2 2DS",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Restaurante Castelo,+44 20 8671 8527,"369 Norwood Road, London, SE27 9BQ",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Adana Sofrasi,+44 20 8363 1111,"402 High Road, London, N17 9JB",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
The Garden House,+44 20 8880 9212,"410 High Road, London, N17 9JB",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Gold Mine,+44 20 7792 8331,"100-102 Queensway, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Afghan Kitchen,+44 20 7359 8019,"35 Islington Green, London, N1 8DU",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
The Vincent Rooms,+44 20 7802 8391,"76 Vincent Square, London, SW1P 2PD",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Sinuhe persian Tapas Bar,+44 20 7229 4422,"13 Hereford Road, London, W2 4AB",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Breddos,+44 20 3535 8301,"82 Goswell Road, London, EC1V 7DB",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Mama Thai,+44 20 7277 2734,"235 Walworth Road, London, SE17 1RL",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
27 Old Compton Street,+44 20 7183 5467,"27 Old Compton Street, London, W1D 5JP",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Le Chef Masgouf,+44 20 7262 5919,"41 Connaught Street, London, W2 2BB",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Les Associes,+44 20 8348 8944,"172 Park Road, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Dar's,+44 20 7485 9921,London,restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Curry Mahal,+44 20 8422 7976,"372 Northolt Road, Harrow, HA2 8ES",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Orpheus,+44 20 7481 1931,"26A Savage Gardens, London, EC3N 2AR",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
The Leather Uppers,+44 20 7407 0295,"15 Leathermarket Street, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Delicious by Franco,+44 20 7482 3460,"320 Kentish Town Road, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Centro Galego de Londres,+44 20 8964 4873,"869 Harrow Road, London, NW10 5NG",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
The Refectory,+44 20 8543 1945,London,restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Wing Sing,+44 20 8532 2883,"78 George Lane, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Sayurit Sushi,+44 20 8810 1676,"78 South Ealing Road, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Tas Firin,+44 7909 890634,"277 City Road, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Chilli Cool,+44 20 7383 3135,"15 Leigh Street, London, WC1H 9EW",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
The Pie Crust (Thai),+44 20 8534 2873,"273 High Street, London, E15 2TF",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Chaiiwala,+44 20 7625 8532,London,restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Bianca Pizzeria,+44 20 8340 5296,"419 Green Lanes, London, N4 1EY",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Lebanese Gardens,+44 20 7834 9941,"10a Vauxhall Bridge Road, London, SW1V 2SD",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Thai Villa,+44 20 8869 9888,"181, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Northwood Piazza,+44 1923829670,"28 Green Lane, Northwood, HA6 2QB",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Papa Bruno,+44 20 7222 4396,"47 Marsham Street, London, SW1P 3DP",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
La Fortuna,+44 20 7937 8752,"32 Kensington Church Street, London, W8 4HA",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Brachia,+44 20 8458 7003,"118 Golders Green Road, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Nino's,+44 20 8518 8503,"18 Electric Parade, London, E18 2LY",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
George's Fish & Souvlaki Bar,+44 20 8989 3970,"164 George Lane, London, E18 1AY",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Lakehouse Hungarian,+44 7711 585380,"83 High Road, London, E18 2QP",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Ma Cuisine,+44 20 8332 1923,"8 Station Approach, Richmond, TW9 3QB",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Hummus Bros,+44 20 7404 7079,"37-63 Southampton Row, London, WC1B 4DA",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Dynasty,+44 20 8504 0475,"139 High Road, London, E18 2PA",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Barnaby's,+44 20 7610 0880,"47 Lillie Road, London, SW6 1UD",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Burj Al Arab,+44 20 7487 4414,"13c Crawford Street, London, W1U 6BZ",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Go Bong,+44 20 7281 6620,"788 Holloway Road, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Wings,+44 20 8904 8326,"294 Preston Road, Harrow, HA3 0QA",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Little Vietnam,+44 20 8543 7585,"1 Kingston Road, London, SW19 1JX",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Legends American Grill & Bar,+44 20 8850 7550,"90 Eltham High Street, London, SE9 1BW",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Viet Ngon,+44 20 7281 5095,"145 Stroud Green Road, London, N4 3PZ",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Sajee,+44 20 8297 6452,"19 Lee High Road, London, SE13 5LD",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Raffles,+44 20 7723 3159,"13 Craven Road, London, W2 3BP",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Villa Rosa,+44 20 7402 2995,"9 Craven Road, London, W2 3BP",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Sambal Express,+44 20 8423 4412,"253 Northolt Road, Harrow, HA2 8HS",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
